team,logo,conference,record,macro_ranking,change,dr_index,cfp_index,vs_index,sos
North Dakota State,https://www.versussportssimulator.com/images/teamlogos/CFB/NDSU.png,Missouri Valley,5-0,1,1,1.0278,65.01,2,51
Sam Houston State,https://www.versussportssimulator.com/images/teamlogos/CFB/SHSU.png,WAC,5-0,2,1,1.5568,62.89,1,113
James Madison,https://www.versussportssimulator.com/images/teamlogos/CFB/JMU.png,CAA,4-1,3,-2,0.5997,65.90,6,34
South Dakota State,https://www.versussportssimulator.com/images/teamlogos/CFB/SDS.png,Missouri Valley,4-1,4,0,1.1347,62.26,7,45
Eastern Washington,https://www.versussportssimulator.com/images/teamlogos/CFB/EWU.png,Big Sky,6-0,5,5,0.1227,58.28,3,46
Southern Illinois,https://www.versussportssimulator.com/images/teamlogos/CFB/SIU.png,Missouri Valley,5-1,6,-1,0.4286,58.92,4,11
Montana State,https://www.versussportssimulator.com/images/teamlogos/CFB/MTST.png,Big Sky,5-1,7,-1,0.0419,63.31,8,49
Montana,https://www.versussportssimulator.com/images/teamlogos/CFB/MONT.png,Big Sky,4-1,8,0,0.3155,61.33,9,42
Princeton,https://www.versussportssimulator.com/images/teamlogos/CFB/PRIN.png,Ivy,4-0,9,-2,0.8564,54.63,23,107
Villanova,https://www.versussportssimulator.com/images/teamlogos/CFB/NOVA.png,CAA,4-1,10,2,0.1199,58.06,20,99
